20260923-16:10:28.487174 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508478 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508499 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508516 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508533 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508552 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508569 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508585 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508605 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508621 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508638 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508657 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508676 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508695 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508714 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508730 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508747 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508766 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508784 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508803 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508821 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508840 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508859 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508878 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508897 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508916 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508935 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508954 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508973 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.508992 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509008 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509025 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509045 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509064 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509083 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509099 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509116 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509135 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509154 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509173 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509192 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509211 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509230 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509249 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509269 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509287 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509306 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509325 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509344 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509363 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509382 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509401 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509420 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509439 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509458 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509477 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509495 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509515 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:28.509533 : ERROR , FIX Server , Socket error :0, socket event result :0 
