20260923-16:10:27.045485 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.072337 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.072385 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.072428 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.072470 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.072513 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.072556 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.072599 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.072641 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.072684 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.072726 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.072768 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.072810 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.072852 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.072895 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.072938 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.072981 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073022 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073065 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073108 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073151 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073193 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073236 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073302 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073347 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073389 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073432 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073474 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073519 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073562 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073605 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073647 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073690 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073732 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073775 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073817 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073860 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073902 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073945 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.073987 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074030 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074072 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074133 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074176 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074218 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074261 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074304 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074346 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074389 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074431 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074474 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074517 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074559 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074601 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074645 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074688 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074731 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074773 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074816 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074859 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074901 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074944 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.074986 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075029 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075072 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075109 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075146 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075183 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075226 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075269 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075334 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075377 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075420 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075463 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075506 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075548 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075591 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075633 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075676 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075718 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075761 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075804 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075846 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075888 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075931 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.075973 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076016 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076058 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076101 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076143 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076186 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076228 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076271 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076314 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076356 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076398 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076441 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076483 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076526 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076568 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076611 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076653 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076696 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076739 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:27.076781 : ERROR , FIX Server , Socket error :0, socket event result :0 
