20260923-16:11:15.812752 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854641 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854653 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854658 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854669 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854679 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854688 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854698 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854708 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854717 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854726 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854733 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854742 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854748 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854756 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854762 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854770 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854779 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854789 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854798 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854809 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854814 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854823 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854832 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854841 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854851 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854860 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854866 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854874 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854884 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854893 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854902 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854908 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854917 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854927 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854937 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854946 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854952 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854960 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854969 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854979 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854989 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.854999 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.855004 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.855013 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.855023 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.855032 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.855044 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.855049 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.855058 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:15.855067 : ERROR , FIX Server , Socket error :0, socket event result :0 
