20260923-16:11:17.416139 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470220 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470231 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470236 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470241 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470247 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470260 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470266 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470278 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470283 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470288 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470293 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470298 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470303 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470307 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470312 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470317 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470322 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470327 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470332 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470336 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470342 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470346 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470391 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470448 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470455 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470461 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470465 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470478 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470484 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470495 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470501 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470505 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470510 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470515 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470520 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470525 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470530 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470535 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470540 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470545 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470556 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470562 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470616 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470622 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470627 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470632 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470673 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470681 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470688 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470695 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470700 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470705 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:17.470710 : ERROR , FIX Server , Socket error :0, socket event result :0 
