20260923-16:10:35.478249 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494045 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494067 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494083 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494099 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494117 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494150 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494166 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494182 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494197 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494215 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494231 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494247 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494274 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494289 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494305 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494323 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494338 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494354 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494372 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494388 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494403 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494421 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494439 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494457 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494475 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494490 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494506 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494522 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494540 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494558 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494576 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494594 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494612 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494630 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494648 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494666 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494684 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494702 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494720 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494737 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494755 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494773 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494791 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494809 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494827 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494845 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494863 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494880 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494898 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494914 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494930 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494948 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494966 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494982 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.494997 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495015 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495033 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495052 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495070 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495088 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495106 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495124 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495142 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495159 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495177 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495195 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495212 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495227 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495245 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495263 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495279 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495295 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495313 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495331 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495349 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495367 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495385 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495403 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495420 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495436 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495452 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495470 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495489 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495505 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495521 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495539 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495557 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495575 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495593 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:35.495611 : ERROR , FIX Server , Socket error :0, socket event result :0 
