20260923-16:11:06.219938 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286128 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286147 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286153 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286158 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286188 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286206 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286221 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286242 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286258 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286276 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286292 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286310 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286347 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286366 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286383 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286399 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286417 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286435 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286454 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286471 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286490 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286509 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286527 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286546 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286563 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286582 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286601 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286619 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286638 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.286657 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287017 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287052 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287116 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287168 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287198 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287241 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287271 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287322 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287371 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287402 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287452 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287483 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287537 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287569 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287619 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287650 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287701 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287750 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287781 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287825 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287856 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287921 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287963 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:06.287981 : ERROR , FIX Server , Socket error :0, socket event result :0 
