20260923-16:37:20.926577 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933659 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933667 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933668 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933670 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933671 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933672 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933674 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933675 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933676 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933677 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933678 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933680 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933681 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933682 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933683 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933685 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933686 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933687 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933689 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933690 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933691 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933692 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933693 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933695 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933709 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933713 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933726 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933729 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933731 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933733 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933734 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933735 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933736 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933738 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933739 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933740 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933742 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933743 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933744 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933745 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933747 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933748 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933749 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933751 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933752 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933766 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933780 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933793 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933807 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933810 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933811 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933813 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933814 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933816 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933817 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933818 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933819 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933821 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933822 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933823 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933835 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933849 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933852 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933854 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933855 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933856 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933858 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933859 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933861 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933863 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933865 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933867 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933869 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933871 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933872 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933874 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933876 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933878 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933880 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933897 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933901 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933903 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933906 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933908 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933910 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933912 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933914 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933916 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933918 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933921 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933923 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933925 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933928 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933930 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933932 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933935 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933952 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933957 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933961 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933964 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933967 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933969 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933971 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933973 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933975 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933977 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933980 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933982 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933983 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933984 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933986 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933987 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933988 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933990 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933991 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933992 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.933993 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934009 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934013 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934024 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934027 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934029 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934030 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934032 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934033 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934034 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934036 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934038 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934039 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934053 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934056 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934057 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934059 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934060 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934061 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934063 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934064 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934065 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934079 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934082 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934083 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934096 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934100 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934102 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934106 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934110 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:20.934112 : ERROR , FIX Server , Socket error :0, socket event result :0 
