20260923-16:11:10.311144 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.384948 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.384970 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.384981 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.384985 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.384991 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.384998 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385002 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385008 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385021 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385028 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385031 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385033 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385036 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385040 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385042 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385048 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385055 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385058 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385069 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385074 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385079 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385092 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385098 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385103 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385108 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385113 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385124 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385130 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385152 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385158 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385163 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385168 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385179 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385185 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385190 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385202 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385207 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385220 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385226 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385237 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:10.385243 : ERROR , FIX Server , Socket error :0, socket event result :0 
