20260923-16:11:04.856125 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.914892 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.914905 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.914913 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.914920 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.914960 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.914969 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.914977 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.914984 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.914991 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915001 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915013 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915019 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915028 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915082 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915093 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915130 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915171 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915183 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915189 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915197 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915207 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915217 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915223 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915231 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915241 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915250 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915260 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915266 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915274 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915284 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915293 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915299 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915307 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915317 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915327 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915336 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915346 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915356 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:04.915365 : ERROR , FIX Server , Socket error :0, socket event result :0 
