20260923-16:10:30.133273 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155616 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155631 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155641 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155650 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155658 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155668 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155676 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155739 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155760 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155771 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155844 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155856 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155898 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155926 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155936 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155945 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155954 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155962 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155971 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155980 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155988 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.155996 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.156005 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.156013 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.156021 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.156030 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.156038 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.156046 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.156055 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.156063 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.156071 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.156080 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.156088 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:30.156096 : ERROR , FIX Server , Socket error :0, socket event result :0 
