20260923-16:10:59.730427 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759187 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759199 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759208 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759215 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759227 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759235 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759240 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759252 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759258 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759437 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759445 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759452 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759458 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759503 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759511 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759518 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759524 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759529 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759535 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759540 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759545 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759584 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759591 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759597 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759602 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759607 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759612 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759617 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759622 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759628 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759633 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759638 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759644 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759649 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759654 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759659 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759664 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759668 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759673 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759678 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759683 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759689 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759693 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759699 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759704 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759709 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759714 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759719 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759724 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759729 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759734 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759739 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759744 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759749 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759754 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759759 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759765 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759770 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759775 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759780 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759786 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759832 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759839 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759845 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759850 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759855 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759860 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759866 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759871 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759876 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759881 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759886 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759891 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759910 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759919 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759925 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759930 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759935 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759940 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759945 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759950 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759955 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759960 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:59.759965 : ERROR , FIX Server , Socket error :0, socket event result :0 
