20260923-16:37:21.832215 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840025 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840045 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840059 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840075 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840089 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840092 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840094 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840095 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840097 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840098 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840099 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840101 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840102 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840103 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840105 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840106 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840120 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840122 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840124 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840125 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840138 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840153 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840167 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840170 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840171 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840173 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840174 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840188 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840193 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840195 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840197 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840209 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840213 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840216 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840229 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840232 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840234 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840235 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840237 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840250 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840253 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840255 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840257 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840269 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840273 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840275 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840277 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840280 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840281 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840282 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840284 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840285 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840287 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840288 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840289 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840291 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840292 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840293 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840295 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840296 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840297 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840298 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840311 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840325 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840339 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840353 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840367 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840381 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840395 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840398 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840399 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840400 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840402 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840403 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840416 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840428 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840443 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840457 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840460 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840461 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840463 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840464 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840466 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840479 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840493 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840497 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840498 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840499 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840501 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840502 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840504 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840517 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840520 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840522 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840535 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840539 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840541 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840555 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840569 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840572 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840574 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840586 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840600 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840614 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840628 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840632 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840634 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840636 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840650 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840663 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840669 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840671 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840681 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840684 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840698 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840701 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840702 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840704 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840705 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840707 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840708 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840709 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840711 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840712 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840713 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840715 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840728 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840732 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840734 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840736 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840737 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840739 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840740 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840753 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840757 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840759 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840761 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840773 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840776 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840779 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840781 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840782 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840784 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840785 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840787 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840788 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840801 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:21.840804 : ERROR , FIX Server , Socket error :0, socket event result :0 
