20260923-16:10:23.518756 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541106 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541147 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541184 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541221 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541258 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541302 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541339 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541376 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541412 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541449 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541486 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541524 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541561 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541603 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541640 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541709 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541753 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541795 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541838 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541880 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541923 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.541965 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.542008 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.542051 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:23.542093 : ERROR , FIX Server , Socket error :0, socket event result :0 
