20260923-16:11:02.554288 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590407 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590426 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590444 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590458 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590472 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590484 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590497 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590511 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590540 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590554 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590568 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590593 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590609 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590624 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590638 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590652 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590666 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590680 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590693 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590708 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590722 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590735 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590749 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590763 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590778 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590792 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590806 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590820 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590834 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590848 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590862 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590876 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590889 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590903 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590917 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590931 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590945 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590959 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590973 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.590987 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591001 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591015 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591030 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591044 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591058 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591071 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591092 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591106 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591121 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591134 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591148 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591162 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591176 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591190 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591204 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591218 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591232 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591245 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591257 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591270 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591285 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591299 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591313 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591327 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591341 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591354 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591368 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591381 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591395 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591409 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591423 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591437 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591451 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591465 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591479 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591494 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591508 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591522 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591536 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591550 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591564 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591578 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591592 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591605 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591619 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591631 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591647 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591661 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591675 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:02.591689 : ERROR , FIX Server , Socket error :0, socket event result :0 
