20260923-16:11:23.795733 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842104 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842122 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842132 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842141 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842157 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842169 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842179 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842186 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842200 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842210 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842218 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842227 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842236 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842245 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842255 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842264 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842273 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842282 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842291 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842300 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842308 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842321 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842333 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842342 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842352 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842367 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842379 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.842388 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.843256 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:23.843287 : ERROR , FIX Server , Socket error :0, socket event result :0 
