20260923-16:11:18.731042 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795079 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795100 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795110 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795119 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795129 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795176 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795189 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795200 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795210 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795220 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795227 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795237 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795247 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795251 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795258 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795262 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795267 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795273 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795277 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795283 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795286 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795293 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795295 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795302 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795309 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795312 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795318 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795321 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795327 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795330 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795336 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795343 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795347 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795353 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795356 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795362 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795365 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795371 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795374 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795380 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795383 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795390 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795396 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795400 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795423 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795432 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795443 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795450 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795454 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795460 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795464 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795470 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795477 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795481 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795487 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795494 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795498 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795504 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795507 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795513 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795516 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795523 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795526 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795533 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795535 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795538 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:18.795544 : ERROR , FIX Server , Socket error :0, socket event result :0 
