20260923-16:37:19.361942 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396179 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396195 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396209 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396222 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396234 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396246 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396258 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396270 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396284 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396296 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396308 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396319 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396332 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396385 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396409 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396425 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396438 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396450 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396463 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396475 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396487 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396499 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396511 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396523 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396534 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396547 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396559 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396571 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396583 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396595 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396607 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396619 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396631 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396642 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396655 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396662 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396670 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396682 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396694 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:19.396706 : ERROR , FIX Server , Socket error :0, socket event result :0 
