20260923-16:11:26.855680 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.961121 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.963968 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964065 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964083 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964182 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964257 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964389 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964478 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964578 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964587 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964592 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964596 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964600 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964603 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964645 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964653 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964658 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964689 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964699 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964705 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964709 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964713 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964717 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964721 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964725 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964729 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964733 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964737 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.964827 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965188 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965196 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965199 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965202 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965204 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965206 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965209 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965211 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965213 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965216 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965218 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965220 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965223 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965226 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965228 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965231 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965234 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965622 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:26.965790 : ERROR , FIX Server , Socket error :0, socket event result :0 
