20260923-16:10:47.915892 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.971779 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.971790 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.971798 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.971805 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.971809 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.971815 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.971818 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.971821 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.971823 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.971877 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.971914 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.971997 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972060 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972103 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972205 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972247 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972266 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972321 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972340 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972381 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972432 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972448 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972464 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972482 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972498 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972516 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972532 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972547 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972565 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972605 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972623 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972657 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972695 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972732 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972848 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972902 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972922 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.972983 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973040 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973074 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973116 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973172 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973205 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973273 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973325 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973386 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973438 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973499 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973552 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973612 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973661 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973723 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973775 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973836 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973871 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973925 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.973985 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974021 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974074 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974134 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974188 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974245 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974280 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974299 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974332 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974392 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974437 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974499 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974551 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974612 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974665 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974725 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974779 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974820 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974840 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974858 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.974944 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975007 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975059 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975119 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975171 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975232 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975266 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975320 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975371 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975391 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975423 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975482 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975534 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975554 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975573 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975591 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975613 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975648 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975682 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975715 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975734 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975753 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975770 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975787 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975806 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975823 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975841 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975860 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975876 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975895 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975911 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975930 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975949 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975968 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.975984 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.976003 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.976020 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.976039 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.976057 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.976075 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.976093 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.976110 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.976129 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:47.976148 : ERROR , FIX Server , Socket error :0, socket event result :0 
