20260923-16:37:03.552367 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.576030 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.576044 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.576053 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.576057 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.576061 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.576070 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.576105 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.576827 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.576878 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.576920 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.576961 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577001 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577040 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577080 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577119 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577159 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577198 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577238 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577277 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577317 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577356 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577396 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577436 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577476 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577515 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577555 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577595 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577686 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:03.577772 : ERROR , FIX Server , Socket error :0, socket event result :0 
