20260923-16:37:13.047125 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072686 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072706 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072719 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072730 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072742 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072754 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072766 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072778 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072789 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072802 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072813 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072824 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072835 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072847 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072858 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072869 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072880 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072892 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072903 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072915 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072926 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072938 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072950 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072961 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072972 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072984 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.072995 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073007 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073018 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073031 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073042 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073053 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073065 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073077 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073089 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073101 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073113 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073125 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073136 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073148 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073159 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073171 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073183 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073194 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073206 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073218 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073229 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073241 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073252 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073264 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073276 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073287 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073299 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073311 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073322 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073333 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073345 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073357 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073368 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073380 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073392 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073404 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073415 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073428 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073439 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073451 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073462 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073475 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073486 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073743 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073767 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073779 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073791 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073802 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073813 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.073991 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074020 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074034 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074046 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074166 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074189 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074202 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074214 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074225 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074238 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074249 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074260 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074272 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074283 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074294 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074302 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074309 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:13.074320 : ERROR , FIX Server , Socket error :0, socket event result :0 
