20260923-16:10:21.074037 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097051 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097103 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097148 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097194 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097239 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097284 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097329 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097374 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097451 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097496 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097555 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097601 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097646 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097691 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097763 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097813 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097860 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097909 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.097957 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098002 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098048 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098096 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098143 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098190 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098238 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098286 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098333 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098382 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098429 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098478 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098523 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098570 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098616 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098662 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098707 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098752 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098797 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098843 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098889 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098937 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.098983 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.099029 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.099075 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.099818 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.099915 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.100046 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.100180 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.100268 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.100396 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.100525 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.100655 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.100793 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.100884 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101019 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101058 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101097 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101135 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101174 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101212 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101251 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101289 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101328 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101367 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101405 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101443 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101569 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101616 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101661 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101705 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101750 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101794 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101839 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101883 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101928 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.101972 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102017 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102061 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102106 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102150 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102195 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102239 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102284 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102328 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102373 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102417 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102462 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102501 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102704 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102754 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102797 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102840 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102883 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102925 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.102967 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103010 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103052 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103095 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103137 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103180 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103223 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103266 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103308 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103351 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103394 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103436 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103479 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103521 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103564 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103606 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103648 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103691 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103734 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103776 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103819 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103861 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103903 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103946 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.103988 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.104030 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.104073 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:21.104115 : ERROR , FIX Server , Socket error :0, socket event result :0 
