20260923-16:10:53.969367 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991306 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991318 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991324 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991331 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991337 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991344 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991352 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991360 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991367 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991374 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991381 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991387 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991395 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991401 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991408 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991415 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991425 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991431 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991438 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991445 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991451 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991457 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991464 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991470 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991476 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991483 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991489 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991507 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991512 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991515 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991522 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991529 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991535 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991541 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991548 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991555 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991562 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991568 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991575 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991581 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991587 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991594 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991600 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991607 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991613 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991620 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991629 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991641 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991651 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991661 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991667 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991675 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991681 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991686 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991691 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991696 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991705 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991715 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991725 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991734 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:53.991744 : ERROR , FIX Server , Socket error :0, socket event result :0 
