20260923-16:10:41.618605 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638130 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638142 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638147 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638152 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638158 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638170 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638176 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638188 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638195 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638200 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638210 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638216 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638227 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638234 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638239 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638245 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638255 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638261 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638267 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638272 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638282 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638288 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638299 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638305 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638316 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638322 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638327 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638333 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638359 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638367 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638374 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638384 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638390 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638395 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638401 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638411 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638417 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638428 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638434 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638444 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:41.638451 : ERROR , FIX Server , Socket error :0, socket event result :0 
