20260923-16:11:08.926175 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948550 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948570 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948586 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948601 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948616 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948634 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948650 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948665 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948680 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948697 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948712 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948728 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948743 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948761 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948776 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948791 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948806 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948824 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948839 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948854 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948870 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948887 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948902 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948917 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948933 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948950 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:08.948965 : ERROR , FIX Server , Socket error :0, socket event result :0 
