20260923-16:10:31.384963 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402036 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402048 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402052 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402058 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402065 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402072 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402079 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402086 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402093 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402099 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402106 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402113 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402120 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402126 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402133 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402143 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402150 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402157 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402164 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402171 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402177 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402184 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402191 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402199 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402206 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402212 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402219 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402225 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402232 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402239 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402247 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402254 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402261 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402268 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402275 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402278 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402280 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402283 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402285 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402288 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402290 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402296 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402302 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402309 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402315 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402322 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402330 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402337 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402343 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402350 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402356 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402363 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402370 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402377 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402383 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402391 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402397 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402403 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402410 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402416 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402423 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402430 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402437 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402443 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402450 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402456 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402462 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402469 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402476 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402483 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402490 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402496 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402502 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402509 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402516 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402523 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402529 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402535 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402542 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402549 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402556 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402563 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402569 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402575 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402582 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402589 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402596 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402602 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402609 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402616 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402622 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402629 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402635 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402642 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402649 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402657 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402664 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402670 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402677 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402683 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402690 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402697 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402704 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402710 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402717 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402723 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402730 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402737 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402743 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402750 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402757 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402763 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402770 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402776 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402783 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402790 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402797 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402804 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:10:31.402811 : ERROR , FIX Server , Socket error :0, socket event result :0 
