20260923-16:11:13.794691 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889532 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889543 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889550 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889557 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889563 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889573 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889585 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889595 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889605 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889615 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889680 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889691 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889701 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889711 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889720 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889730 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889739 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889749 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889759 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889769 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889779 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889788 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889797 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889807 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889816 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889826 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889836 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:13.889845 : ERROR , FIX Server , Socket error :0, socket event result :0 
