20260923-16:11:11.726388 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794116 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794177 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794188 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794195 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794203 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794213 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794223 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794232 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794242 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794251 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794260 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794266 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794274 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794284 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794293 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794303 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794312 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794322 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794327 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794336 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794346 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794355 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794364 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794373 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794383 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794429 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794440 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794466 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794473 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794482 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794532 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794544 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794554 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794565 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794577 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794589 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794600 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794611 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794621 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794630 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794640 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794650 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794659 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794665 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794673 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794682 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794696 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794705 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794732 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794772 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794784 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:11.794795 : ERROR , FIX Server , Socket error :0, socket event result :0 
