20260923-16:37:08.128507 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.150339 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.150376 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.150410 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.150444 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.150503 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.150537 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.150571 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.150604 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.150637 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.150671 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.150704 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.150738 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.150771 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.150805 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.150838 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.150872 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152200 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152251 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152291 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152374 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152517 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152560 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152599 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152639 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152679 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152720 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152761 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152800 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152841 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152881 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152921 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152960 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.152999 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153038 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153078 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153119 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153159 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153199 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153238 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153278 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153317 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153357 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153396 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153436 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153475 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153515 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153554 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153594 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153633 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153673 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153736 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153777 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153817 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153857 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153896 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153936 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.153977 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.154019 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.154061 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.154104 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.154147 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.154188 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.154229 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.154270 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.154312 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.154352 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.154392 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.154432 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.154472 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.154513 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.154553 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.154961 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155005 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155044 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155083 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155122 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155162 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155201 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155240 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155280 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155403 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155444 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155484 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155600 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155662 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155703 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155745 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155860 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.155960 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.156061 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.156162 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.156307 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.156410 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.156504 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.156569 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.156609 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.156650 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.156689 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.156729 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.156768 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.156807 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.156847 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.156886 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.156925 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.156965 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157003 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157043 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157082 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157121 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157160 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157200 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157238 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157278 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157316 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157355 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157390 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157424 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157457 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157491 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157525 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157559 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157592 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157627 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157660 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157694 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157728 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157762 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157796 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157830 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157863 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157902 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157941 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.157980 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158020 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158059 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158098 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158137 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158176 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158215 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158255 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158294 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158333 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158372 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158411 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158451 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158490 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158551 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158591 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158630 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158670 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158726 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158767 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158807 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158846 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158885 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158924 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.158964 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159003 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159043 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159081 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159135 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159175 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159214 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159253 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159293 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159332 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159372 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159410 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159450 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159489 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159528 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159567 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159607 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159646 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159685 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159724 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159763 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159802 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159841 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159880 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:37:08.159919 : ERROR , FIX Server , Socket error :0, socket event result :0 
